Debug | 2023/07/10 00:37:04.512453 | WindowDataPoint | {"DatePerformed":"2022-09-07T00:00:00Z","Sets":1,"Reps":3,"Effort":5,"Intensity":0.588785047,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.514028 | DataPoint | {"DatePerformed":"2022-09-07T00:00:00Z","Sets":1,"Reps":3,"Effort":5,"Intensity":0.588785047,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.515345 | WindowDataPoint | {"DatePerformed":"2022-09-01T00:00:00Z","Sets":3,"Reps":4,"Effort":5,"Intensity":0.757009346,"InterExerciseFatigue":10,"InterWorkoutFatigue":10}
Debug | 2023/07/10 00:37:04.516675 | DataPoint | {"DatePerformed":"2022-09-01T00:00:00Z","Sets":3,"Reps":4,"Effort":5,"Intensity":0.757009346,"InterExerciseFatigue":10,"InterWorkoutFatigue":10}
Debug | 2023/07/10 00:37:04.517922 | WindowDataPoint | {"DatePerformed":"2022-09-01T00:00:00Z","Sets":10,"Reps":1,"Effort":10,"Intensity":0.925233645,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.519071 | DataPoint | {"DatePerformed":"2022-09-01T00:00:00Z","Sets":10,"Reps":1,"Effort":10,"Intensity":0.925233645,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.520476 | DataPoint | {"DatePerformed":"2022-08-29T00:00:00Z","Sets":3,"Reps":4,"Effort":6,"Intensity":0.757009346,"InterExerciseFatigue":1,"InterWorkoutFatigue":1}
Debug | 2023/07/10 00:37:04.521766 | DataPoint | {"DatePerformed":"2022-08-29T00:00:00Z","Sets":1,"Reps":1,"Effort":10,"Intensity":1.018691589,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.523312 | DataPoint | {"DatePerformed":"2022-08-22T00:00:00Z","Sets":4,"Reps":1,"Effort":9.5,"Intensity":0.962616822,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.524929 | DataPoint | {"DatePerformed":"2022-08-22T00:00:00Z","Sets":4,"Reps":4,"Effort":6,"Intensity":0.757009346,"InterExerciseFatigue":4,"InterWorkoutFatigue":4}
Debug | 2023/07/10 00:37:04.526296 | DataPoint | {"DatePerformed":"2022-08-15T00:00:00Z","Sets":3,"Reps":4,"Effort":6,"Intensity":0.757009346,"InterExerciseFatigue":8,"InterWorkoutFatigue":8}
Debug | 2023/07/10 00:37:04.527754 | DataPoint | {"DatePerformed":"2022-08-15T00:00:00Z","Sets":4,"Reps":2,"Effort":10,"Intensity":0.925233645,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.528922 | DataPoint | {"DatePerformed":"2022-08-08T00:00:00Z","Sets":2,"Reps":4,"Effort":6,"Intensity":0.757009346,"InterExerciseFatigue":12,"InterWorkoutFatigue":12}
Debug | 2023/07/10 00:37:04.530072 | DataPoint | {"DatePerformed":"2022-08-08T00:00:00Z","Sets":4,"Reps":3,"Effort":9.5,"Intensity":0.887850467,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.531250 | DataPoint | {"DatePerformed":"2022-08-01T00:00:00Z","Sets":4.5,"Reps":4,"Effort":9.5,"Intensity":0.85046729,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.532418 | DataPoint | {"DatePerformed":"2022-07-24T00:00:00Z","Sets":1,"Reps":1,"Effort":10,"Intensity":1.028846154,"InterExerciseFatigue":0,"InterWorkoutFatigue":2}
Debug | 2023/07/10 00:37:04.536071 | DataPoint | {"DatePerformed":"2022-07-14T00:00:00Z","Sets":1,"Reps":1,"Effort":9.5,"Intensity":0.951923077,"InterExerciseFatigue":19,"InterWorkoutFatigue":19}
Debug | 2023/07/10 00:37:04.537266 | DataPoint | {"DatePerformed":"2022-07-14T00:00:00Z","Sets":2,"Reps":4,"Effort":7,"Intensity":0.778846154,"InterExerciseFatigue":20,"InterWorkoutFatigue":20}
Debug | 2023/07/10 00:37:04.538351 | DataPoint | {"DatePerformed":"2022-07-14T00:00:00Z","Sets":4.75,"Reps":4,"Effort":9.5,"Intensity":0.875,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.539474 | DataPoint | {"DatePerformed":"2022-07-11T00:00:00Z","Sets":6,"Reps":1,"Effort":10,"Intensity":0.951923077,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.540590 | DataPoint | {"DatePerformed":"2022-07-11T00:00:00Z","Sets":3,"Reps":5,"Effort":5,"Intensity":0.778846154,"InterExerciseFatigue":6,"InterWorkoutFatigue":6}
Debug | 2023/07/10 00:37:04.541746 | DataPoint | {"DatePerformed":"2022-07-07T00:00:00Z","Sets":1,"Reps":1,"Effort":9.5,"Intensity":1.009615385,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.543828 | DataPoint | {"DatePerformed":"2022-06-27T00:00:00Z","Sets":5,"Reps":3,"Effort":10,"Intensity":0.913461538,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.545365 | DataPoint | {"DatePerformed":"2022-06-27T00:00:00Z","Sets":1,"Reps":1,"Effort":9.5,"Intensity":0.951923077,"InterExerciseFatigue":15,"InterWorkoutFatigue":15}
Debug | 2023/07/10 00:37:04.546939 | DataPoint | {"DatePerformed":"2022-06-20T00:00:00Z","Sets":5,"Reps":4,"Effort":10,"Intensity":0.875,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.548301 | DataPoint | {"DatePerformed":"2022-06-16T00:00:00Z","Sets":4,"Reps":5,"Effort":9,"Intensity":0.817307692,"InterExerciseFatigue":5,"InterWorkoutFatigue":5}
Debug | 2023/07/10 00:37:04.549481 | DataPoint | {"DatePerformed":"2022-06-16T00:00:00Z","Sets":1,"Reps":1,"Effort":8,"Intensity":0.913461538,"InterExerciseFatigue":25,"InterWorkoutFatigue":25}
Debug | 2023/07/10 00:37:04.550609 | DataPoint | {"DatePerformed":"2022-06-16T00:00:00Z","Sets":1,"Reps":5,"Effort":7,"Intensity":0.817307692,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.551915 | DataPoint | {"DatePerformed":"2022-06-09T00:00:00Z","Sets":6,"Reps":6,"Effort":9.5,"Intensity":0.778846154,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.553402 | DataPoint | {"DatePerformed":"2022-06-06T00:00:00Z","Sets":4,"Reps":4,"Effort":9.5,"Intensity":0.817307692,"InterExerciseFatigue":3,"InterWorkoutFatigue":3}
Debug | 2023/07/10 00:37:04.554529 | DataPoint | {"DatePerformed":"2022-06-06T00:00:00Z","Sets":1,"Reps":1,"Effort":9.5,"Intensity":0.951923077,"InterExerciseFatigue":2,"InterWorkoutFatigue":2}
