Exercise, Type, Focus
45 Degree Hyperextensions,Compound Accessory,Deadlift
Banded Deadlift,Main Compound Accessory,Deadlift
Banded Squat,Main Compound Accessory,Squat
Barbell Rows,Accessory,Deadlift
Bench,Main Compound,Bench
Block Press,Main Compound Accessory,Bench
Box Jump,Accessory,Squat
Bulgarian Split Squat,Compound Accessory,Squat
Cable Crunches,Accessory,None
Cable Row,Accessory,None
Cannonball Squat,Main Compound Accessory,Squat
Close Grip Bench,Main Compound Accessory,Bench
Deadbugs,Accessory,None
Deadlift,Main Compound,Deadlift
Deadlift Row,Main Compound Accessory,Deadlift
Deficit Romanian Deadlift,Compound Accessory,Deadlift
Dip,Compound Accessory,Bench
Dumbbell Lateral Side Raise,Accessory,Bench
Dumbbell Press,Main Compound Accessory,Bench
Dumbbell RDL,Compound Accessory,Deadlift
Face Pull,Accessory,None
Flat Dumbbell Press,Compound Accessory,Bench
Goblet Squat,Accessory,Squat
Hamstring Curls,Accessory,Deadlift
Heeled Squat,Main Compound Accessory,Squat
Incline Bench,Compound Accessory,Bench
Incline Dumbbell Press,Compound Accessory,Bench
Larson Press,Compound Accessory,Bench
Lat Pulldown,Accessory,Deadlift
Narrow Grip Bench,Main Compound Accessory,Bench
Overhead Press,Compound Accessory,Bench
Paused Deadlift,Main Compound Accessory,Deadlift
Paused Squat,Main Compound Accessory,Squat
Pin Press,Main Compound Accessory,Bench
Plank,Accessory,None
Pullup,Compound Accessory,None
Pushup,Compound Accessory,None
Romanian Deadlift,Compound Accessory,Deadlift
Saftey Bar Squat,Main Compound Accessory,Squat
Seated Dumbbell Overhead Press,Compound Accessory,Bench
Skull Crusher,Accessory,Bench
Squat,Main Compound,Squat
Tempo Squat,Main Compound Accessory,Squat
Tricep Pushdowns,Accessory,Bench
V Bar Rows,Compound Accessory,Deadlift
YTW's,Accessory,None
